id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Drive,Echo Waves,electronic,excited,0.95,140,0.85,0.9,0.1
12,Rainy Day Blues,Blue Notes,country,sad,0.25,80,0.2,0.4,0.8
13,Urban Pulse,Street Vibe,hip-hop,moody,0.75,110,0.5,0.8,0.15
14,Ancient Echoes,Timeless Strings,classical,calm,0.1,50,0.7,0.2,0.95
15,Island Rhythms,Tropical Beats,reggae,relaxed,0.6,90,0.8,0.75,0.4
16,Thunder Storm,Storm Chasers,metal,angry,0.98,160,0.1,0.65,0.05
17,Dreamy Horizons,Celestial Sounds,folk,nostalgic,0.4,70,0.6,0.5,0.85
18,Cosmic Journey,Star Pilots,electronic,focused,0.85,130,0.75,0.85,0.2
19,Sunset Serenade,Golden Hour,classical,relaxed,0.2,60,0.9,0.3,0.9
20,Wildfire Groove,Flame Dancers,reggae,excited,0.9,125,0.8,0.9,0.25
